Datetime,Water Level (m)
2023-12-27 06:00:00,-0.023019135
2023-12-27 07:00:00,-0.053057175
2023-12-27 08:00:00,-0.07610099
2023-12-27 09:00:00,-0.084072836
2023-12-27 10:00:00,-0.076851115
2023-12-27 11:00:00,-0.05934309
2023-12-27 12:00:00,-0.04023941
2023-12-27 13:00:00,-0.02980027
2023-12-27 14:00:00,-0.032683626
2023-12-27 15:00:00,-0.046863686
2023-12-27 16:00:00,-0.0687142
2023-12-27 17:00:00,-0.09611595
2023-12-27 18:00:00,-0.12723854
2023-12-27 19:00:00,-0.15656178
2023-12-27 20:00:00,-0.17278019
2023-12-27 21:00:00,-0.16966778
2023-12-27 22:00:00,-0.1450028
2023-12-27 23:00:00,-0.103119746
2023-12-28 00:00:00,-0.0577661
2023-12-28 01:00:00,-0.018653395
2023-12-28 02:00:00,0.004652722
2023-12-28 03:00:00,0.00985134
2023-12-28 04:00:00,5.3806027e-05
2023-12-28 05:00:00,-0.019873714
2023-12-28 06:00:00,-0.04713767
2023-12-28 07:00:00,-0.07839287
2023-12-28 08:00:00,-0.10755489
2023-12-28 09:00:00,-0.12415229
2023-12-28 10:00:00,-0.12365729
2023-12-28 11:00:00,-0.108996764
2023-12-28 12:00:00,-0.08796915
2023-12-28 13:00:00,-0.07000543
2023-12-28 14:00:00,-0.0639516
2023-12-28 15:00:00,-0.0703519
2023-12-28 16:00:00,-0.0864702
2023-12-28 17:00:00,-0.1094807
2023-12-28 18:00:00,-0.13751005
2023-12-28 19:00:00,-0.16753446
2023-12-28 20:00:00,-0.19109955
2023-12-28 21:00:00,-0.19810267
2023-12-28 22:00:00,-0.18572156
2023-12-28 23:00:00,-0.15134926
2023-12-29 00:00:00,-0.10556753
2023-12-29 01:00:00,-0.060320504
2023-12-29 02:00:00,-0.025745587
2023-12-29 03:00:00,-0.009253542
2023-12-29 04:00:00,-0.010634259
2023-12-29 05:00:00,-0.025285937
2023-12-29 06:00:00,-0.04858101
2023-12-29 07:00:00,-0.07741157
2023-12-29 08:00:00,-0.1081358
2023-12-29 09:00:00,-0.13235472
2023-12-29 10:00:00,-0.14168285
2023-12-29 11:00:00,-0.1341684
2023-12-29 12:00:00,-0.11591281
2023-12-29 13:00:00,-0.09492279
2023-12-29 14:00:00,-0.07991237
2023-12-29 15:00:00,-0.0771179
2023-12-29 16:00:00,-0.08618314
2023-12-29 17:00:00,-0.103686355
2023-12-29 18:00:00,-0.12773532
2023-12-29 19:00:00,-0.15581137
2023-12-29 20:00:00,-0.18337046
2023-12-29 21:00:00,-0.20014377
2023-12-29 22:00:00,-0.1986396
2023-12-29 23:00:00,-0.17761466
2023-12-30 00:00:00,-0.13735506
2023-12-30 01:00:00,-0.09177172
2023-12-30 02:00:00,-0.051111255
2023-12-30 03:00:00,-0.02505785
2023-12-30 04:00:00,-0.017165022
2023-12-30 05:00:00,-0.02489911
2023-12-30 06:00:00,-0.043290086
2023-12-30 07:00:00,-0.068346955
2023-12-30 08:00:00,-0.09733027
2023-12-30 09:00:00,-0.12536067
2023-12-30 10:00:00,-0.14246759
2023-12-30 11:00:00,-0.14342374
2023-12-30 12:00:00,-0.12983419
2023-12-30 13:00:00,-0.10794204
2023-12-30 14:00:00,-0.08665114
2023-12-30 15:00:00,-0.074991435
2023-12-30 16:00:00,-0.07636506
2023-12-30 17:00:00,-0.088559635
2023-12-30 18:00:00,-0.108272634
2023-12-30 19:00:00,-0.13368692
2023-12-30 20:00:00,-0.16149044
2023-12-30 21:00:00,-0.18473208
2023-12-30 22:00:00,-0.1933278
2023-12-30 23:00:00,-0.18385541
2023-12-31 00:00:00,-0.15538262
2023-12-31 01:00:00,-0.114106864
2023-12-31 02:00:00,-0.07224664
2023-12-31 03:00:00,-0.039728478
2023-12-31 04:00:00,-0.024136173
2023-12-31 05:00:00,-0.025245132
2023-12-31 06:00:00,-0.03919653
2023-12-31 07:00:00,-0.061394464
2023-12-31 08:00:00,-0.0886085
2023-12-31 09:00:00,-0.11802303
2023-12-31 10:00:00,-0.14199665
2023-12-31 11:00:00,-0.1514824
2023-12-31 12:00:00,-0.14534217
2023-12-31 13:00:00,-0.12754712
2023-12-31 14:00:00,-0.10451208
2023-12-31 15:00:00,-0.08520026
2023-12-31 16:00:00,-0.07768446
2023-12-31 17:00:00,-0.08268417
2023-12-31 18:00:00,-0.09699139
2023-12-31 19:00:00,-0.11751581
2023-12-31 20:00:00,-0.14277422
2023-12-31 21:00:00,-0.16829212
2023-12-31 22:00:00,-0.18500282
2023-12-31 23:00:00,-0.18504114
2024-01-01 00:00:00,-0.16798428
2024-01-01 01:00:00,-0.13833645
2024-01-01 02:00:00,-0.10203133
2024-01-01 03:00:00,-0.06737256
2024-01-01 04:00:00,-0.043830074
2024-01-01 05:00:00,-0.03641367
2024-01-01 06:00:00,-0.04349608
2024-01-01 07:00:00,-0.06088332
2024-01-01 08:00:00,-0.08473809
2024-01-01 09:00:00,-0.11261478
2024-01-01 10:00:00,-0.13959712
2024-01-01 11:00:00,-0.15685652
2024-01-01 12:00:00,-0.15947253
2024-01-01 13:00:00,-0.14836739
2024-01-01 14:00:00,-0.12761344
2024-01-01 15:00:00,-0.104634665
2024-01-01 16:00:00,-0.08819499
2024-01-01 17:00:00,-0.08397811
2024-01-01 18:00:00,-0.0911141
2024-01-01 19:00:00,-0.10641744
2024-01-01 20:00:00,-0.12726723
2024-01-01 21:00:00,-0.15154566
2024-01-01 22:00:00,-0.17314893
2024-01-01 23:00:00,-0.18195426
2024-01-02 00:00:00,-0.17398523
2024-01-02 01:00:00,-0.15156294
2024-01-02 02:00:00,-0.11978293
2024-01-02 03:00:00,-0.085554935
2024-01-02 04:00:00,-0.057586852
2024-01-02 05:00:00,-0.043712247
2024-01-02 06:00:00,-0.04484312
